"key","en","fr","ja","vi","zh"
"plugins/language/language::order","Order","Ordre","注文","Thứ tự","订单"
"plugins/language/language::order_helper","Position of the language in the language switcher","Position de la langue dans le sélecteur de langue","言語スイッチャーにおける言語の位置","Vị trí của ngôn ngữ trong bộ chuyển đổi ngôn ngữ","语言切换器中的语言位置"
"plugins/language/language::add_new_language","Add new language","Ajouter une nouvelle langue","新しい言語を追加する","Thêm ngôn ngữ mới","添加新语言"
"plugins/language/language::code","Code","Code ISO","コード","Mã","代码"
"plugins/language/language::default_language","Is default?","Langue par défaut ?","デフォルトですか？","Mặc định?","是默认吗？"
"plugins/language/language::actions","Actions","Actions disponibles","アクション","Hành động","动作"
"plugins/language/language::translations","Translations","Traductions","翻訳","Bản dịch","翻译"
"plugins/language/language::edit","Edit","Modifier","編集","Chỉnh sửa","编辑"
"plugins/language/language::edit_tooltip","Edit this language","Modifier cette langue","この言語を編集する","Chỉnh sửa ngôn ngữ này","编辑此语言"
"plugins/language/language::delete","Delete","Supprimer","消去","Xóa","删除"
"plugins/language/language::delete_tooltip","Delete this language and all its associated data","Supprimer cette langue et toutes ses données associées","この言語とそのすべての関連データを削除します","Xóa ngôn ngữ này và tất cả dữ liệu liên quan","删除此语言及其所有相关数据"
"plugins/language/language::choose_default_language","Choose :language as default language","Choisir :language comme langue par défaut","Choose :language as default language","Chọn :language làm ngôn ngữ mặc định","选择 :language 作为默认语言"
"plugins/language/language::current_language","Current record's language","Langue de l'enregistrement actuel","現在のレコードの言語","Ngôn ngữ hiện tại của bản ghi","当前记录的语言"
"plugins/language/language::edit_related","Edit related language for this record","Modifier la langue associée pour cet enregistrement","このレコードの関連言語を編集する","Chỉnh sửa ngôn ngữ liên quan cho bản ghi này","编辑此记录的相关语言"
"plugins/language/language::add_language_for_item","Add other language version for this record","Ajouter une autre version linguistique pour cet enregistrement","このレコードに他の言語バージョンを追加","Thêm phiên bản ngôn ngữ khác cho bản ghi này","为此记录添加其他语言版本"
"plugins/language/language::settings","Settings","Paramètres","設定","Cài đặt","设置"
"plugins/language/language::language_hide_default","Hide default language from URL?","Masquer la langue par défaut de l'URL ?","URL からデフォルトの言語を非表示にしますか?","Ẩn ngôn ngữ mặc định khỏi URL?","隐藏默认语言在网址中吗？"
"plugins/language/language::language_display_flag_only","Flag only","Drapeau uniquement","旗のみ","Chỉ hiển thị cờ","仅标记"
"plugins/language/language::language_display_name_only","Name only","Nom uniquement","名前のみ","Chỉ hiển thị tên","仅姓名"
"plugins/language/language::language_display_all","Display all flag and name","Afficher le drapeau et le nom","すべてのフラグと名前を表示","Hiển thị tất cả cờ và tên","显示所有旗帜和名称"
"plugins/language/language::language_display","Language display","Affichage de la langue","言語表示","Hiển thị ngôn ngữ","语言显示"
"plugins/language/language::switcher_display","Switcher language display","Affichage du sélecteur de langue","スイッチャーの言語表示","Hiển thị bộ chuyển đổi ngôn ngữ","切换语言显示"
"plugins/language/language::language_switcher_display_dropdown","Dropdown","Menu déroulant","落ちる","Danh sách thả xuống","下拉菜单"
"plugins/language/language::language_switcher_display_list","List","Liste","リスト","Danh sách","列表"
"plugins/language/language::current_language_edit_notification","You are editing <strong class=current_language_text>:language</strong> version","Vous modifiez la version <strong class=current_language_text>:language</strong>","「<strong class=current_ language_text>:言語</strong>」バージョンを編集しています","Bạn đang chỉnh sửa phiên bản <strong class=current_language_text>:language</strong>","您正在编辑“<strong class=current_language_text>:language</strong>”版本"
"plugins/language/language::confirm-change-language","Confirm change language","Confirmer le changement de langue","言語変更の確認","Xác nhận thay đổi ngôn ngữ","确认更改语言"
"plugins/language/language::confirm-change-language-message","Do you really want to change language to <strong class=change_to_language_text></strong> ? This action will be override <strong class=change_to_language_text></strong> version if it's existed!","Voulez-vous vraiment changer la langue en <strong class=change_to_language_text></strong> ? Cette action écrasera la version <strong class=change_to_language_text></strong> si elle existe !","本当に言語を「<strong class=change_to_ language_text></strong>」に変更しますか?このアクションは、「<strong class=change_to_ language_text></strong>」バージョンが存在する場合、それをオーバーライドします。","Bạn có thực sự muốn thay đổi ngôn ngữ thành <strong class=change_to_language_text></strong> ? Hành động này sẽ ghi đè phiên bản <strong class=change_to_language_text></strong> nếu nó tồn tại!","您真的想将语言更改为“<strong class=change_to_language_text></strong>”吗？如果存在，这个操作将覆盖“<strong class=change_to_language_text></strong>”版本！"
"plugins/language/language::confirm-change-language-btn","Confirm change","Confirmer le changement","変更の確認","Xác nhận thay đổi","确认更改"
"plugins/language/language::hide_languages","Hide languages","Masquer les langues","言語を隠す","Ẩn ngôn ngữ","隐藏语言"
"plugins/language/language::hide_languages_description","You can completely hide content in specific languages from visitors and search engines, but still view it yourself. This allows reviewing translations that are in progress.","Vous pouvez complètement masquer le contenu dans des langues spécifiques aux visiteurs et aux moteurs de recherche, mais toujours le consulter vous-même. Cela permet de réviser les traductions en cours.","特定の言語のコンテンツを訪問者や検索エンジンから完全に非表示にしても、自分自身は表示できます。これにより、進行中の翻訳を確認できます。","Bạn có thể hoàn toàn ẩn nội dung bằng các ngôn ngữ cụ thể khỏi khách truy cập và công cụ tìm kiếm, nhưng vẫn có thể xem nó. Điều này cho phép xem lại các bản dịch đang được tiến hành.","您可以完全隐藏特定语言的内容，以便访客和搜索引擎无法看到，但您仍然可以查看。这允许您审查正在进行的翻译。"
"plugins/language/language::hide_languages_helper_display_hidden","{0} All languages are currently displayed.|{1} :language is currently hidden to visitors.|[2, Inf] :language are currently hidden to visitors.","{0} Toutes les langues sont actuellement affichées.|{1} :language est actuellement masqué aux visiteurs.|[2, Inf] :language sont actuellement masqués aux visiteurs.","{0} All languages are currently displayed.|{1} :language is currently hidden to visitors.|[2, Inf] :language are currently hidden to visitors.","{0} Tất cả ngôn ngữ hiện đang được hiển thị.|{1} :language hiện đang bị ẩn đối với khách truy cập.|[2, Inf] :language hiện đang bị ẩn đối với khách truy cập.","{0} 所有语言当前都显示。|{1} :language 当前对访客隐藏。|[2, Inf] :language 当前对访客隐藏。"
"plugins/language/language::hide_languages_helper_display_hidden_zero","All languages are currently displayed.","Toutes les langues sont actuellement affichées.","All languages are currently displayed.","Tất cả ngôn ngữ hiện đang được hiển thị.","所有语言当前都显示。"
"plugins/language/language::hide_languages_helper_display_hidden_singular",":language is currently hidden to visitors.",":language est actuellement masqué aux visiteurs.",":language is currently hidden to visitors.",":language hiện đang bị ẩn đối với khách truy cập.",":language 当前对访客隐藏。"
"plugins/language/language::hide_languages_helper_display_hidden_plural",":language are currently hidden to visitors.",":language sont actuellement masqués aux visiteurs.",":language are currently hidden to visitors.",":language hiện đang bị ẩn đối với khách truy cập.",":language 当前对访客隐藏。"
"plugins/language/language::show_all","Show all","Tout afficher","すべて表示","Hiển thị tất cả","显示全部"
"plugins/language/language::change_language","Language","Langue","言語","Ngôn ngữ","语言"
"plugins/language/language::select_flag","Select a flag...","Sélectionnez un drapeau...","フラグを選択してください...","Chọn một lá cờ...","选择一个旗帜..."
"plugins/language/language::delete_confirmation_message","Do you really want to delete this language? It also deletes all items in this language and cannot rollback!","Voulez-vous vraiment supprimer cette langue ? Elle supprimera également tous les éléments dans cette langue et ne peut pas être annulée !","本当にこの言語を削除してもよろしいですか?また、この言語のすべてのアイテムが削除されるため、ロールバックできません。","Bạn có thực sự muốn xóa ngôn ngữ này? Nó cũng xóa tất cả các mục trong ngôn ngữ này và không thể hoàn tác!","您真的想删除这个语言吗？这也会删除该语言中的所有项目，并且无法恢复！"
"plugins/language/language::added_already","This language was added already!","Cette langue a déjà été ajoutée !","この言語はすでに追加されています。","Ngôn ngữ này đã được thêm rồi!","这个语言已经添加过了!"
"plugins/language/language::language_auto_detect_user_language","Auto detect user language?","Détecter automatiquement la langue de l'utilisateur ?","ユーザー言語を自動検出しますか?","Tự động phát hiện ngôn ngữ người dùng?","自动检测用户语言？"
"plugins/language/language::language_auto_detect_user_language_helper","If enabled, the system will try to detect the user language based on the browser language.","Si activé, le système tentera de détecter la langue de l'utilisateur en fonction de la langue du navigateur.","有効にすると、システムはブラウザの言語に基づいてユーザーの言語を検出しようとします。","Nếu được bật, hệ thống sẽ cố gắng phát hiện ngôn ngữ của người dùng dựa trên ngôn ngữ trình duyệt.","如果启用，系统将尝试根据浏览器语言检测用户语言。"
"plugins/language/language::setup_site_language","To set up the site language, please go to :link page. Or go to :appearance_link to set up the admin language.","Pour configurer la langue du site, veuillez accéder à la page :link. Ou allez à :appearance_link pour configurer la langue d'administration.","サイトの言語を設定するには、:link ページに移動してください。または、管理者言語を設定するには :appearance_link に移動してください。","Để thiết lập ngôn ngữ trang web, vui lòng truy cập trang :link. Hoặc truy cập :appearance_link để thiết lập ngôn ngữ quản trị.","要设置网站语言，请访问 :link 页面。或者访问 :appearance_link 设置管理员语言。"
"plugins/language/language::no_languages","There are no languages in your site!","Il n'y a aucune langue sur votre site !","あなたのサイトには言語がありません。","Không có ngôn ngữ nào trong trang web của bạn!","您的网站中没有语言！"
"plugins/language/language::update","Update","Mise à jour","アップデート","Cập nhật","更新"
"plugins/language/language::default_language_warning","You should set the default language only once during the initial setup and avoid changing it later.","Vous ne devez définir la langue par défaut qu'une seule fois lors de la configuration initiale et éviter de la modifier ultérieurement.","デフォルト言語は初期設定時に一度だけ設定し、後で変更しないようにしてください。","Bạn chỉ nên đặt ngôn ngữ mặc định một lần trong quá trình thiết lập ban đầu và tránh thay đổi nó sau này.","您应该只在初始设置期间设置一次默认语言，并避免稍后更改。"
"plugins/language/language::default_language_warning_details","Changing the default language does not automatically update your existing content — all previously entered data remains tied to the original default language.","La modification de la langue par défaut ne met pas automatiquement à jour votre contenu existant - toutes les données précédemment saisies restent liées à la langue par défaut d'origine.","デフォルト言語を変更しても、既存のコンテンツは自動的に更新されません — 以前に入力されたすべてのデータは元のデフォルト言語に関連付けられたままです。","Thay đổi ngôn ngữ mặc định không tự động cập nhật nội dung hiện tại của bạn — tất cả dữ liệu đã nhập trước đó vẫn gắn với ngôn ngữ mặc định ban đầu.","更改默认语言不会自动更新您的现有内容——所有先前输入的数据仍与原始默认语言绑定。"
"plugins/language/language::default_language_warning_action","If you decide to change the default language, you will need to manually update your site content to match the new default language, as it won't be updated automatically.","Si vous décidez de modifier la langue par défaut, vous devrez mettre à jour manuellement le contenu de votre site pour qu'il corresponde à la nouvelle langue par défaut, car il ne sera pas mis à jour automatiquement.","デフォルト言語を変更することにした場合、新しいデフォルト言語に合わせてサイトのコンテンツを手動で更新する必要があります。自動的には更新されません。","Nếu bạn quyết định thay đổi ngôn ngữ mặc định, bạn sẽ cần cập nhật thủ công nội dung trang web của mình để phù hợp với ngôn ngữ mặc định mới, vì nó sẽ không được cập nhật tự động.","如果您决定更改默认语言，则需要手动更新网站内容以匹配新的默认语言，因为它不会自动更新。"
"plugins/member/dashboard::joined_on","Joined :date","Inscrit le :date","登録日 :date","Tham gia :date","加入于 :date"
"plugins/member/dashboard::dob","Born :date","Né le :date","生年月日 :date","Sinh ngày :date","出生于 :date"
"plugins/member/dashboard::email","Email","Email","メールアドレス","Email","电子邮件"
"plugins/member/dashboard::password","Password","Mot de passe","パスワード","Mật khẩu","密码"
"plugins/member/dashboard::password-confirmation","Confirm Password","Confirmer le mot de passe","パスワード確認","Xác nhận mật khẩu","确认密码"
"plugins/member/dashboard::remember-me","Remember Me","Se souvenir de moi","ログイン情報を記憶する","Ghi nhớ đăng nhập","记住我"
"plugins/member/dashboard::login-title","Login","Connexion","ログイン","Đăng nhập","登录"
"plugins/member/dashboard::login-cta","Login","Se connecter","ログイン","Đăng nhập","登录"
"plugins/member/dashboard::register-title","Register","S'inscrire","登録","Đăng ký","注册"
"plugins/member/dashboard::register-cta","Register","S'inscrire","登録","Đăng ký","注册"
"plugins/member/dashboard::forgot-password-cta","Forgot Your Password?","Mot de passe oublié ?","パスワードをお忘れですか？","Quên mật khẩu?","忘记密码？"
"plugins/member/dashboard::name","Name","Nom","名前","Tên","姓名"
"plugins/member/dashboard::reset-password-title","Reset Password","Réinitialiser le mot de passe","パスワードリセット","Đặt lại mật khẩu","重置密码"
"plugins/member/dashboard::reset-password-cta","Reset Password","Réinitialiser le mot de passe","パスワードリセット","Đặt lại mật khẩu","重置密码"
"plugins/member/dashboard::cancel-link","Cancel","Annuler","キャンセル","Hủy","取消"
"plugins/member/dashboard::logout-cta","Logout","Déconnexion","ログアウト","Đăng xuất","退出"
"plugins/member/dashboard::header_profile_link","Profile","Profil","プロフィール","Hồ sơ","个人资料"
"plugins/member/dashboard::header_settings_link","Settings","Paramètres","設定","Cài đặt","设置"
"plugins/member/dashboard::header_logout_link","Logout","Déconnexion","ログアウト","Đăng xuất","退出"
"plugins/member/dashboard::unknown_state","Unknown","Inconnu","不明","Không xác định","未知"
"plugins/member/dashboard::close","Close","Fermer","閉じる","Đóng","关闭"
"plugins/member/dashboard::save","Save","Enregistrer","保存","Lưu","保存"
"plugins/member/dashboard::loading","Loading...","Chargement...","読み込み中...","Đang tải...","加载中..."
"plugins/member/dashboard::new_image","New image","Nouvelle image","新しい画像","Hình ảnh mới","新图片"
"plugins/member/dashboard::change_profile_image","Change avatar","Changer l'avatar","アバターを変更","Thay đổi ảnh đại diện","更改头像"
"plugins/member/dashboard::save_cropped_image_failed","Save cropped image failed!","Échec de l'enregistrement de l'image recadrée !","トリミングした画像の保存に失敗しました！","Lưu ảnh cắt thất bại!","保存裁剪图片失败！"
"plugins/member/dashboard::failed_to_crop_image","Failed to crop image","Échec du recadrage de l'image","画像のトリミングに失敗しました","Cắt ảnh thất bại","裁剪图片失败"
"plugins/member/dashboard::failed_to_load_data","Failed to load data","Échec du chargement des données","データの読み込みに失敗しました","Tải dữ liệu thất bại","加载数据失败"
"plugins/member/dashboard::read_image_failed","Read image failed","Échec de la lecture de l'image","画像の読み込みに失敗しました","Đọc ảnh thất bại","读取图片失败"
"plugins/member/dashboard::update_avatar_success","Update avatar successfully!","Avatar mis à jour avec succès !","アバターを正常に更新しました！","Cập nhật ảnh đại diện thành công!","头像更新成功！"
"plugins/member/dashboard::change_avatar_description","Click on image to change avatar","Cliquez sur l'image pour changer l'avatar","アバターを変更するには画像をクリックしてください","Nhấp vào ảnh để thay đổi ảnh đại diện","点击图片更改头像"
"plugins/member/dashboard::notices.error","Error!","Erreur !","エラー！","Lỗi!","错误！"
"plugins/member/dashboard::notices.success","Success!","Succès !","成功！","Thành công!","成功！"
"plugins/member/dashboard::sidebar_title","Personal settings","Paramètres personnels","個人設定","Cài đặt cá nhân","个人设置"
"plugins/member/dashboard::sidebar_information","Account Information","Informations du compte","アカウント情報","Thông tin tài khoản","账户信息"
"plugins/member/dashboard::change_password","Change password","Changer le mot de passe","パスワード変更","Thay đổi mật khẩu","更改密码"
"plugins/member/dashboard::account_field_title","Account Information","Informations du compte","アカウント情報","Thông tin tài khoản","账户信息"
"plugins/member/dashboard::profile-picture","Profile picture","Photo de profil","プロフィール写真","Ảnh hồ sơ","个人头像"
"plugins/member/dashboard::uploading","Uploading...","Téléchargement...","アップロード中...","Đang tải lên...","上传中..."
"plugins/member/dashboard::phone","Phone","Téléphone","電話番号","Điện thoại","电话"
"plugins/member/dashboard::first_name","First name","Prénom","名","Tên","名"
"plugins/member/dashboard::last_name","Last name","Nom","姓","Họ","姓"
"plugins/member/dashboard::description","Short description","Description courte","簡単な説明","Mô tả ngắn","简短描述"
"plugins/member/dashboard::description_placeholder","Tell something about yourself...","Parlez-nous de vous...","自己紹介を入力してください...","Giới thiệu về bản thân...","介绍一下自己..."
"plugins/member/dashboard::verified","Verified","Vérifié","認証済み","Đã xác thực","已验证"
"plugins/member/dashboard::verify_require_desc","Please verify email by link we sent to you.","Veuillez vérifier votre email via le lien que nous vous avons envoyé.","お送りしたリンクでメールアドレスを確認してください。","Vui lòng xác thực email qua liên kết chúng tôi đã gửi cho bạn.","请通过我们发送给您的链接验证电子邮件。"
"plugins/member/dashboard::birthday","Birthday","Anniversaire","誕生日","Ngày sinh","生日"
"plugins/member/dashboard::year_lc","year","année","年","năm","年"
"plugins/member/dashboard::month_lc","month","mois","月","tháng","月"
"plugins/member/dashboard::day_lc","day","jour","日","ngày","日"
"plugins/member/dashboard::gender","Gender","Genre","性別","Giới tính","性别"
"plugins/member/dashboard::gender_male","Male","Masculin","男性","Nam","男"
"plugins/member/dashboard::gender_female","Female","Féminin","女性","Nữ","女"
"plugins/member/dashboard::gender_other","Other","Autre","その他","Khác","其他"
"plugins/member/dashboard::current_password","Current password","Mot de passe actuel","現在のパスワード","Mật khẩu hiện tại","当前密码"
"plugins/member/dashboard::password_new","New password","Nouveau mot de passe","新しいパスワード","Mật khẩu mới","新密码"
"plugins/member/dashboard::password_new_confirmation","Confirmation password","Confirmation du mot de passe","パスワード確認","Xác nhận mật khẩu","确认密码"
"plugins/member/dashboard::password_update_btn","Update password","Mettre à jour le mot de passe","パスワードを更新","Cập nhật mật khẩu","更新密码"
"plugins/member/dashboard::current_password_not_valid","Current password is not valid","Le mot de passe actuel n'est pas valide","現在のパスワードが正しくありません","Mật khẩu hiện tại không đúng","当前密码无效"
"plugins/member/dashboard::password_update_success","Update password successfully!","Mot de passe mis à jour avec succès !","パスワードを正常に更新しました！","Cập nhật mật khẩu thành công!","密码更新成功！"
"plugins/member/dashboard::activity_logs","Activity Logs","Journal d'activité","アクティビティログ","Nhật ký hoạt động","活动日志"
"plugins/member/dashboard::no_activity_title","No Activities!","Aucune activité !","アクティビティがありません！","Chưa có hoạt động!","没有活动！"
"plugins/member/dashboard::no_activity_logs","You have no activity logs yet","Vous n'avez pas encore de journal d'activité","まだアクティビティログがありません","Bạn chưa có nhật ký hoạt động nào","您还没有活动日志"
"plugins/member/dashboard::actions.create_post","You have created post :name","Vous avez créé l'article :name","投稿「:name」を作成しました","Bạn đã tạo bài viết :name","您创建了文章 :name"
"plugins/member/dashboard::actions.update_post","You have updated post :name","Vous avez mis à jour l'article :name","投稿「:name」を更新しました","Bạn đã cập nhật bài viết :name","您更新了文章 :name"
"plugins/member/dashboard::actions.delete_post","You have deleted post :name","Vous avez supprimé l'article :name","投稿「:name」を削除しました","Bạn đã xóa bài viết :name","您删除了文章 :name"
"plugins/member/dashboard::actions.update_setting","You have updated your settings","Vous avez mis à jour vos paramètres","設定を更新しました","Bạn đã cập nhật cài đặt","您更新了设置"
"plugins/member/dashboard::actions.update_security","You have updated your password successfully","Vous avez mis à jour votre mot de passe avec succès","パスワードを正常に更新しました","Bạn đã cập nhật mật khẩu thành công","您成功更新了密码"
"plugins/member/dashboard::actions.your_post_updated_by_admin","Your post :name is updated by administrator","Votre article :name a été mis à jour par l'administrateur","あなたの投稿「:name」が管理者によって更新されました","Bài viết :name của bạn đã được quản trị viên cập nhật","您的文章 :name 已被管理员更新"
"plugins/member/dashboard::actions.changed_avatar","You have changed your avatar","Vous avez changé votre avatar","アバターを変更しました","Bạn đã thay đổi ảnh đại diện","您更改了头像"
"plugins/member/dashboard::load_more","Load more","Charger plus","さらに読み込む","Tải thêm","加载更多"
"plugins/member/dashboard::loading_more","Loading...","Chargement...","読み込み中...","Đang tải...","加载中..."
"plugins/member/dashboard::back-to-login","Back to login page","Retour à la page de connexion","ログインページに戻る","Quay lại trang đăng nhập","返回登录页面"
"plugins/member/dashboard::resend","Resend","Renvoyer","再送信","Gửi lại","重新发送"
"plugins/member/dashboard::dont_have_account","Don't have an account?","Vous n\'avez pas de compte ?","アカウントをお持ちでない場合は、","Bạn chưa có tài khoản?","没有帐户？"
"plugins/member/dashboard::register_now","Register now","Inscrivez-vous maintenant","今すぐ登録してください","Đăng ký ngay bây giờ","立即注册"
"plugins/member/dashboard::already_have_account","Already have an account?","Vous avez déjà un compte ?","すでにアカウントをお持ちですか?","Đã có tài khoản?","已经有帐户？"
"plugins/member/dashboard::hello","Hello","Bonjour","こんにちは","Xin chào","你好"
"plugins/member/dashboard::posts_approved","Posts approved","Messages approuvés","投稿が承認されました","Bài đăng đã được phê duyệt","帖子已批准"
"plugins/member/dashboard::go_to_homepage","Go to homepage","Aller à la page d'accueil","ホームページへ行く","Đi tới trang chủ","前往主页"
"plugins/member/dashboard::posts_by_name","Posts by :name","Messages par :name",":name による投稿","Bài viết của :name",":name 的帖子"
"plugins/member/dashboard::categories","Categories","Catégories","カテゴリー","Thể loại","类别"
"plugins/member/dashboard::no_posts_found","No posts found!","Aucun message trouvé !","投稿が見つかりませんでした。","Không tìm thấy bài viết nào!","没有找到帖子！"
"plugins/member/dashboard::email_address","Email address","Adresse email","電子メールアドレス","Địa chỉ email","电子邮件"
"plugins/member/dashboard::forgot_password_title","Forgot Password","Mot de passe oublié","パスワードをお忘れですか","Quên mật khẩu","忘记密码"
"plugins/member/dashboard::lost_password_description","Lost your password? Please enter your username or email address. You will receive a link to create a new password via email.","Vous avez perdu votre mot de passe ? ","パスワードを紛失しましたか?","Bạn bị mất mật khẩu? ","丢失密码？"
"plugins/member/dashboard::send_password_reset_link","Send Password Reset Link","Envoyer le lien de réinitialisation du mot de passe","パスワードリセットリンクを送信する","Gửi liên kết đặt lại mật khẩu","发送密码重置链接"
"plugins/member/dashboard::register_an_account","Register an account","Créer un compte","アカウントを登録する","Đăng ký tài khoản","注册账户"
"plugins/member/dashboard::personal_data_description","Your personal data will be used to support your experience throughout this website, to manage access to your account.","Vos données personnelles seront utilisées pour soutenir votre expérience sur ce site Web, pour gérer l'accès à votre compte.","あなたの個人データは、この Web サイト全体でのエクスペリエンスをサポートし、アカウントへのアクセスを管理するために使用されます。","Dữ liệu cá nhân của bạn sẽ được sử dụng để hỗ trợ trải nghiệm của bạn trên toàn bộ trang web này, để quản lý quyền truy cập vào tài khoản của bạn.","您的个人数据将用于支持您在本网站上的体验，并管理对您帐户的访问。"
"plugins/member/dashboard::your_email","Your email","Votre email","あなたのメールアドレス","Email của bạn","您的电子邮件"
"plugins/member/dashboard::agree_terms_link","I agree to the :link","J'accepte le :link",":link に同意します","Tôi đồng ý với :link","我同意 :link"
"plugins/member/dashboard::terms_and_privacy_policy","Terms and Privacy Policy","Conditions et politique de confidentialité","規約とプライバシーポリシー","Điều khoản và Chính sách bảo mật","条款和隐私政策"
"plugins/member/dashboard::agree_terms","I agree to the Terms and Privacy Policy","J'accepte les conditions et la politique de confidentialité","利用規約とプライバシーポリシーに同意します","Tôi đồng ý với Điều khoản và Chính sách quyền riêng tư","我同意条款和隐私政策"
"plugins/member/dashboard::login_to_account","Login to your account","Connectez-vous à votre compte","アカウントにログインします","Đăng nhập vào tài khoản của bạn","登录您的帐户"
"plugins/member/dashboard::forgot_password_question","Forgot password?","Mot de passe oublié ?","パスワードをお忘れですか？","Quên mật khẩu?","忘记密码？"
"plugins/member/dashboard::account_settings","Account settings","Paramètres du compte","アカウント設定","Cài đặt tài khoản","账户设置"
"plugins/member/dashboard::update_profile_success","Update profile successfully!","Mise à jour du profil avec succès !","プロフィールが正常に更新されました。","Cập nhật hồ sơ thành công!","更新个人资料成功！"
"plugins/member/dashboard::cannot_find_account","Cannot find this account!","Impossible de trouver ce compte !","このアカウントが見つかりません!","Không thể tìm thấy tài khoản này!","找不到该帐号！"
"plugins/member/dashboard::verification_email_sent","We have sent you an email to verify your email. Please check and confirm your email address!","Nous vous avons envoyé un e-mail pour vérifier votre e-mail. ","あなたのメールアドレスを確認するためにメールを送信しました。","Chúng tôi đã gửi cho bạn một email để xác minh email của bạn. ","我们已向您发送了一封电子邮件以验证您的电子邮件。"
"plugins/member/member::create","New member","Nouveau membre","新しいメンバー","Thành viên mới","新会员"
"plugins/member/member::menu_name","Members","Membres","メンバー","Thành viên","会员"
"plugins/member/member::edit_this_member","Edit this member","Modifier ce membre","このメンバーを編集","Chỉnh sửa thành viên này","编辑此会员"
"plugins/member/member::menu_description","View and manage your members","Voir et gérer vos membres","メンバーの表示と管理","Xem và quản lý thành viên của bạn","查看和管理您的会员"
"plugins/member/member::confirmation_subject","Email verification","Vérification de l'email","メール認証","Xác thực email","电子邮件验证"
"plugins/member/member::confirmation_subject_title","Verify your email","Vérifiez votre email","メールアドレスを確認してください","Xác thực địa chỉ email của bạn","验证您的电子邮件"
"plugins/member/member::not_confirmed","The given email address has not been confirmed. <a href=:resend_link>Resend confirmation link.</a>","L'adresse email fournie n'a pas été confirmée. <a href=:resend_link>Renvoyer le lien de confirmation.</a>","指定されたメールアドレスは確認されていません。<a href=:resend_link>確認リンクを再送信する。</a>","Email của bạn vẫn chưa được xác nhận. <a href=:resend_link>Gửi lại liên kết xác nhận.</a>","提供的电子邮件地址尚未确认。<a href=:resend_link>重新发送确认链接。</a>"
"plugins/member/member::confirmation_successful","You successfully confirmed your email address.","Vous avez confirmé votre adresse email avec succès.","メールアドレスの確認が完了しました。","Bạn đã xác nhận địa chỉ email thành công.","您已成功确认您的电子邮件地址。"
"plugins/member/member::confirmation_info","Please confirm your email address.","Veuillez confirmer votre adresse email.","メールアドレスを確認してください。","Hãy xác nhận địa chỉ email của bạn.","请确认您的电子邮件地址。"
"plugins/member/member::confirmation_resent","We sent you another confirmation email. You should receive it shortly.","Nous vous avons envoyé un autre email de confirmation. Vous devriez le recevoir bientôt.","確認メールを再送信しました。まもなく届くはずです。","Chúng tôi đã gửi một email cho bạn. Vui lòng kiểm tra và xác nhận.","我们已向您发送另一封确认电子邮件。您应该很快就会收到。"
"plugins/member/member::form.login_title","Member login form","Formulaire de connexion membre","メンバーログインフォーム","Mẫu đăng nhập thành viên","会员登录表单"
"plugins/member/member::form.register_title","Member registration form","Formulaire d'inscription membre","メンバー登録フォーム","Mẫu đăng ký thành viên","会员注册表单"
"plugins/member/member::form.reset_password_title","Member reset password form","Formulaire de réinitialisation du mot de passe membre","メンバーパスワードリセットフォーム","Mẫu đặt lại mật khẩu thành viên","会员重置密码表单"
"plugins/member/member::form.forgot_password_title","Member forgot password form","Formulaire de mot de passe oublié membre","メンバーパスワード忘れフォーム","Mẫu quên mật khẩu thành viên","会员忘记密码表单"
"plugins/member/member::form.email","Email","Email","メールアドレス","Email","电子邮件"
"plugins/member/member::form.password","Password","Mot de passe","パスワード","Mật khẩu","密码"
"plugins/member/member::form.password_confirmation","Password confirmation","Confirmation du mot de passe","パスワード確認","Xác nhận mật khẩu","密码确认"
"plugins/member/member::form.change_password","Change password?","Changer le mot de passe ?","パスワードを変更しますか？","Thay đổi mật khẩu?","更改密码？"
"plugins/member/member::forgot_password","Forgot password","Mot de passe oublié","パスワードを忘れた","Quên mật khẩu","忘记密码"
"plugins/member/member::login","Login","Connexion","ログイン","Đăng nhập","登录"
"plugins/member/member::settings.email.title","Member","Membre","メンバー","Thành viên","会员"
"plugins/member/member::settings.email.description","Member email configuration","Configuration email pour les membres","メンバーメール設定","Cấu hình email cho thành viên","会员电子邮件配置"
"plugins/member/member::first_name","First Name","Prénom","名","Tên","名"
"plugins/member/member::last_name","Last Name","Nom","姓","Họ","姓"
"plugins/member/member::email_placeholder","Ex: example@gmail.com","Ex : exemple@gmail.com","例: example@gmail.com","Ví dụ: example@gmail.com","例：example@gmail.com"
"plugins/member/member::write_a_post","Write a post","Écrire un article","投稿を書く","Viết bài đăng","撰写文章"
"plugins/member/member::phone","Phone","Téléphone","電話番号","Điện thoại","电话"
"plugins/member/member::phone_placeholder","Phone","Téléphone","電話番号","Điện thoại","电话"
"plugins/member/member::confirmed_at","Confirmed at","Confirmé le","確認日時","Xác nhận lúc","确认时间"
"plugins/member/member::avatar","Avatar","Photo de profil","アバター","Ảnh đại diện","头像"
"plugins/member/member::dob","Date of birth","Date de naissance","生年月日","Ngày sinh","出生日期"
"plugins/member/member::theme_options.name","Member","Membre","メンバー","Thành viên","会员"
"plugins/member/member::theme_options.login_background_image","Login background image","Image d'arrière-plan de connexion","ログイン背景画像","Hình nền đăng nhập","登录背景图片"
